network_config,strategy,strategy_params,neg_pos_ratio,pred_threshold,evidence_ratio,occ_thr,edge_thr,weight_thr,total_samples,positive_samples,negative_samples,negative_candidates_count,evaluated_days,skipped_days,tp,fp,tn,fn,precision,recall,f1_score,accuracy
Conservative,MarginalProbability,{'prob_threshold': 0.15},2.0,0.2,0.7,2,1,0.2,189,63,126,44,29,24,51,71,55,12,0.4180327868852459,0.8095238095238095,0.5513513513513515,0.5608465608465608
Conservative,MarginalProbability,{'prob_threshold': 0.15},2.0,0.3,0.2,2,1,0.2,390,130,260,44,29,24,43,16,244,87,0.7288135593220338,0.33076923076923076,0.455026455026455,0.735897435897436
Conservative,MarginalProbability,{'prob_threshold': 0.15},2.0,0.3,0.3,2,1,0.2,363,121,242,44,29,24,57,44,198,64,0.5643564356435643,0.47107438016528924,0.5135135135135134,0.7024793388429752
Conservative,MarginalProbability,{'prob_threshold': 0.15},2.0,0.3,0.5,2,1,0.2,270,90,180,44,29,24,57,73,107,33,0.43846153846153846,0.6333333333333333,0.5181818181818182,0.6074074074074074
Conservative,MarginalProbability,{'prob_threshold': 0.15},2.0,0.3,0.7,2,1,0.2,189,63,126,44,29,24,42,58,68,21,0.42,0.6666666666666666,0.5153374233128833,0.582010582010582
Conservative,MarginalProbability,{'prob_threshold': 0.15},2.0,0.4,0.2,2,1,0.2,390,130,260,44,29,24,23,11,249,107,0.6764705882352942,0.17692307692307693,0.2804878048780488,0.6974358974358974
Conservative,MarginalProbability,{'prob_threshold': 0.15},2.0,0.4,0.3,2,1,0.2,363,121,242,44,29,24,30,31,211,91,0.4918032786885246,0.24793388429752067,0.3296703296703297,0.6639118457300276
Conservative,MarginalProbability,{'prob_threshold': 0.15},2.0,0.4,0.5,2,1,0.2,270,90,180,44,29,24,48,56,124,42,0.46153846153846156,0.5333333333333333,0.4948453608247423,0.6370370370370371
Conservative,MarginalProbability,{'prob_threshold': 0.15},2.0,0.4,0.7,2,1,0.2,189,63,126,44,29,24,34,44,82,29,0.4358974358974359,0.5396825396825397,0.48226950354609927,0.6137566137566137
Conservative,MarginalProbability,{'prob_threshold': 0.15},2.0,0.5,0.2,2,1,0.2,390,130,260,44,29,24,8,5,255,122,0.6153846153846154,0.06153846153846154,0.1118881118881119,0.6743589743589744
