occ_thr,edge_thr,weight_thr,evidence_count,pred_threshold,neg_pos_ratio,marginal_prob_threshold,tp,fp,tn,fn,total_samples,positive_samples,negative_samples,precision,recall,f1_score,accuracy,valid_days,total_days,network_nodes,negative_candidates_count,runtime_seconds
2,1,0.2,2,0.3,1.5,0.03,12,4,62,45,123,57,66,0.75,0.21052631578947367,0.3287671232876712,0.6016260162601627,11,29,53,11,1.0002355575561523
2,1,0.2,2,0.3,1.5,0.05,12,3,80,45,140,57,83,0.8,0.21052631578947367,0.3333333333333333,0.6571428571428571,11,29,53,24,1.0552012920379639
2,1,0.2,2,0.3,1.5,0.08,12,3,80,45,140,57,83,0.8,0.21052631578947367,0.3333333333333333,0.6571428571428571,11,29,53,27,1.044093132019043
2,1,0.2,2,0.3,2.0,0.03,12,4,73,45,134,57,77,0.75,0.21052631578947367,0.3287671232876712,0.6343283582089553,11,29,53,11,1.0474207401275635
2,1,0.2,2,0.3,2.0,0.05,12,5,103,45,165,57,108,0.7058823529411765,0.21052631578947367,0.3243243243243243,0.696969696969697,11,29,53,24,1.0987613201141357
2,1,0.2,2,0.3,2.0,0.08,12,4,106,45,167,57,110,0.75,0.21052631578947367,0.3287671232876712,0.7065868263473054,11,29,53,27,1.1487293243408203
2,1,0.2,2,0.4,1.0,0.03,7,1,51,50,109,57,52,0.875,0.12280701754385964,0.2153846153846154,0.5321100917431193,11,29,53,11,0.9710025787353516
2,1,0.2,2,0.4,1.0,0.05,7,0,57,50,114,57,57,1.0,0.12280701754385964,0.21875,0.5614035087719298,11,29,53,24,1.028874158859253
2,1,0.2,2,0.4,1.0,0.08,7,0,57,50,114,57,57,1.0,0.12280701754385964,0.21875,0.5614035087719298,11,29,53,27,1.0310242176055908
2,1,0.2,2,0.4,1.5,0.03,7,1,65,50,123,57,66,0.875,0.12280701754385964,0.2153846153846154,0.5853658536585366,11,29,53,11,1.0332608222961426
2,1,0.2,2,0.4,1.5,0.05,7,3,80,50,140,57,83,0.7,0.12280701754385964,0.208955223880597,0.6214285714285714,11,29,53,24,1.0926268100738525
2,1,0.2,2,0.4,1.5,0.08,7,3,80,50,140,57,83,0.7,0.12280701754385964,0.208955223880597,0.6214285714285714,11,29,53,27,1.057039737701416
2,1,0.2,2,0.4,2.0,0.03,7,1,76,50,134,57,77,0.875,0.12280701754385964,0.2153846153846154,0.6194029850746269,11,29,53,11,1.0261225700378418
2,1,0.2,2,0.4,2.0,0.05,7,3,105,50,165,57,108,0.7,0.12280701754385964,0.208955223880597,0.6787878787878788,11,29,53,24,1.1235826015472412
2,1,0.2,2,0.4,2.0,0.08,7,3,107,50,167,57,110,0.7,0.12280701754385964,0.208955223880597,0.6826347305389222,11,29,53,27,1.108654499053955
2,1,0.2,2,0.5,1.0,0.03,3,0,52,54,109,57,52,1.0,0.05263157894736842,0.1,0.5045871559633027,11,29,53,11,1.0639445781707764
2,1,0.2,2,0.5,1.0,0.05,3,0,57,54,114,57,57,1.0,0.05263157894736842,0.1,0.5263157894736842,11,29,53,24,0.9946351051330566
2,1,0.2,2,0.5,1.0,0.08,3,0,57,54,114,57,57,1.0,0.05263157894736842,0.1,0.5263157894736842,11,29,53,27,1.000809907913208
2,1,0.2,2,0.5,1.5,0.03,3,0,66,54,123,57,66,1.0,0.05263157894736842,0.1,0.5609756097560976,11,29,53,11,1.0252840518951416
2,1,0.2,2,0.5,1.5,0.05,3,0,83,54,140,57,83,1.0,0.05263157894736842,0.1,0.6142857142857143,11,29,53,24,1.0916600227355957
2,1,0.2,2,0.5,1.5,0.08,3,0,83,54,140,57,83,1.0,0.05263157894736842,0.1,0.6142857142857143,11,29,53,27,1.0538463592529297
2,1,0.2,2,0.5,2.0,0.03,3,0,77,54,134,57,77,1.0,0.05263157894736842,0.1,0.5970149253731343,11,29,53,11,1.0533299446105957
2,1,0.2,2,0.5,2.0,0.05,3,0,108,54,165,57,108,1.0,0.05263157894736842,0.1,0.6727272727272727,11,29,53,24,1.1217455863952637
2,1,0.2,2,0.5,2.0,0.08,3,0,110,54,167,57,110,1.0,0.05263157894736842,0.1,0.6766467065868264,11,29,53,27,1.1019957065582275
2,1,0.2,3,0.1,1.0,0.03,45,27,16,1,89,46,43,0.625,0.9782608695652174,0.7627118644067797,0.6853932584269663,10,29,53,11,0.9537985324859619
2,1,0.2,3,0.1,1.0,0.05,45,40,6,1,92,46,46,0.5294117647058824,0.9782608695652174,0.6870229007633587,0.5543478260869565,10,29,53,24,0.9290947914123535
2,1,0.2,3,0.1,1.0,0.08,45,41,5,1,92,46,46,0.5232558139534884,0.9782608695652174,0.6818181818181819,0.5434782608695652,10,29,53,27,0.9769179821014404
